Photo,site,transect,space.logit,prey.rich,urchin.ln,chiton.ln,cons.rich
P1010024_IJ,SC,SCB,0.638953904,11,1.343734747,4.198704578,5
P1010025_IJ,SC,SCB,0.569533225,14,1.343734747,4.016383021,5
P1010026_IJ,SC,SCB,0.624950862,17,1.343734747,3.100092289,2
P1010027_IJ,SC,SCB,0.589345815,16,1.343734747,3.505557397,8
P1010084_IJ,SC,SCC,0.027912846,18,1.410986974,3.100092289,4
P1010086_IJ,SC,SCC,-0.141763002,15,1.410986974,3.505557397,5
P1010087_IJ,SC,SCC,-0.075295762,18,1.410986974,3.100092289,5
P1010088_IJ,SC,SCC,1.331606779,12,1.410986974,3.100092289,7
P1010089_IJ,SC,SCC,-0.920924787,21,1.410986974,2.406945108,4
P1010091_IJ,SC,SCC,-0.744163343,21,1.410986974,3.505557397,5
P1010073_IJ,SC,SC4,-1.579603315,22,-1.609437912,2.406945108,0
P1010074_IJ,SC,SC4,-3.081400156,14,-1.609437912,2.406945108,1
P1010075_IJ,SC,SC4,-2.485687595,16,-1.609437912,2.406945108,1
SC4_35_090922_IJ,SC,SC4,-2.178942532,18,-1.609437912,2.406945108,0
SC4_51_090922_IJ,SC,SC4,-2.33698652,16,-1.609437912,2.406945108,2
SC4_52_090922_IJ,SC,SC4,-3.383421271,23,-1.609437912,2.406945108,0
P1010063_IJ,SC,SC5,-2.422735694,21,-1.609437912,2.406945108,0
P1010064_IJ,SC,SC5,-2.577507535,19,-1.609437912,2.406945108,0
P1010066_IJ,SC,SC5,-2.430043394,22,-1.609437912,2.406945108,0
SC5_34_090922_IJ,SC,SC5,-1.452784102,22,-1.609437912,2.406945108,2
SC5_47_090922_IJ,SC,SC5,-1.514813212,20,-1.609437912,2.406945108,1
SC5_49_090922_IJ,SC,SC5,-2.398747183,14,-1.609437912,2.406945108,1
P1010040_IJ,SC,SC7,-1.805248331,14,-1.609437912,2.406945108,4
P1010041_IJ,SC,SC7,-0.809919605,15,-1.609437912,3.100092289,2
P1010042_IJ,SC,SC7,-1.312608439,16,-1.609437912,2.406945108,2
SC7_2_090922_IJ,SC,SC7,-1.976805486,14,-1.609437912,2.406945108,1
SC7_3_090922_IJ,SC,SC7,-1.476547568,15,-1.609437912,2.406945108,1
SC7_5_090922_IJ,SC,SC7,-1.033417815,14,-1.609437912,2.406945108,3
